Store_ID,Name,State,City,County_Name,Zip,Address,Interstate_or_Highway,Latitude,Longitude,Parking_Spaces,Diesel_Lanes,Bulk_DEF_Lanes,Unleaded,Midgrade,Premium,Diesel,Biodiesel,Bulk_Propane,CNG,EV_Level2,EV_Level3,EV_Tesla_Level2,EV_Tesla_Level3,Showers,Laundry,Overnight_Parking,Private_Showers,Tire_Care,Dog_Park,RF_Service,Restaurant,ATM,Propane_Tank_Exchange,RV_Dump,Light_Mechanical,All_Major_Credit_Cards,Apple_Pay,Samsung_Pay,Cash_Accepted,EBT_SNAP,Comdata,Fleet_One,ComCheck,Love_Express,Voyager,T-Chek,Debit,Android_Pay,My_Love_Rewards,Loves_Gift Card,NRI_ID,NRI_Value_Composite,NRI_Score_Composite,NRI_Rating_Composite,NRI_State_Percentile_Composite,Population_2020,Building_Value,Agriculture_Value,Area_sq_mi,State_FIPS_Code,County_FIPS_Code,State_County_FIPS_Code,TARGET_FID,OBJECTID,JOIN_FID,Shape_Length,Shape_Area
830,Loves,CA,Bakersfield,Kern,93307,1500 Taft Hwy,CA Hwy-99 / 18/Taft Hwy,35.267733,-119.019841,113,8,N,3.799,4.099,4.399,4.349,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,N,Y,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06029,348935217.6,99.013681,Relatively High,79.310345,908530,1.46739E+11,4676111605,8247.345138,6,29,6029,71,71,0,861842.4353,31854116825
392,Loves,CA,Tehachapi,Kern,93561,2000 East Tehachapi Blvd.,Hwy 58 / 151,35.12607,-118.40815,82,8,N,4.099,4.399,4.699,4.889,N,Y,Y,N,N,N,N,,N,Y,Y,N,Y,Y,"McDonald's,Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06029,348935217.6,99.013681,Relatively High,79.310345,908530,1.46739E+11,4676111605,8247.345138,6,29,6029,79,79,0,861842.4353,31854116825
340,Loves,NV,Las Vegas,Clark,89165,12501 Apex Great Basin Pkwy,I-15 / 64,36.381561,-114.896529,153,8,N,2.999,3.299,3.599,3.559,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C32003,439629071.2,99.300032,Relatively High,100,2260510,3.9536E+11,14510536,8142.300135,32,3,32003,91,91,0,916024.9365,32141773662
755,Loves,CA,Boron,Kern,93516,27201 Boron Frontage Rd N,Hwy 58 / 199/Boron Ave,35.011891,-117.644461,85,8,N,4.099,4.399,4.699,4.989,N,Y,N,Y,N,N,N,,N,Y,Y,N,Y,Y,"Carl's Jr.,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06029,348935217.6,99.013681,Relatively High,79.310345,908530,1.46739E+11,4676111605,8247.345138,6,29,6029,96,96,0,861842.4353,31854116825
631,Loves,NE,Valley,Douglas,68064,26120 E Meigs St,Hwy 275 / E Meigs St,41.312512,-96.324373,67,6,N,2.799,3.199,3.499,3.389,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos",Y,Y,Y,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C31055,111989820.7,95.672924,Relatively High,100,584427,1.02574E+11,63707821,342.77546,31,55,31055,100,100,0,195774.6931,1558404275
374,Loves,CA,Barstow,San Bernardino,92311,2974 Lenwood Rd.,I-15 / 178,34.857121,-117.091981,90,10,N,4.099,4.399,4.699,4.789,N,Y,N,Y,N,N,N,,N,Y,Y,N,N,Y,"Godfather's Pizza,Chicken Drumsticks,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06071,1523897374,99.90455,Very High,96.551724,2179979,3.77607E+11,428886621,20308.2954,6,71,6071,109,109,0,1247020.459,77493886078
800,Loves,IL,Elk Grove Village,Cook,60007,1900 Busse Rd,IL Hwy-83 / Pratt Blvd,41.99875,-87.96085,16,5,N,3.189,3.689,4.139,3.549,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,"Godfather's Pizza,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos",Y,Y,N,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C17031,715494813.7,99.618199,Very High,100,5272775,8.93117E+11,22584899,1651.135984,17,31,17031,114,114,0,407296.4647,4471591523
606,Loves,IL,South Holland,Cook,60473,1533 E 162nd Street,I-94 / 73B @ 162nd St,41.599769,-87.579831,86,8,N,3.299,3.799,4.249,3.489,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Hardee's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C17031,715494813.7,99.618199,Very High,100,5272775,8.93117E+11,22584899,1651.135984,17,31,17031,125,125,0,407296.4647,4471591523
207,Loves,CA,Coachella,Riverside,92236,45-761 Dillon Rd.,I-10 / 146,33.717419,-116.171266,104,6,N,3.699,3.999,4.299,4.529,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,"Carl's Jr.,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06065,1590497610,99.936367,Very High,98.275862,2416838,4.18736E+11,1068987536,7376.8054,6,65,6065,162,162,0,911303.1801,27426768238
749,Loves,CA,Westmorland,Imperial,92281,551 West Main Street,Hwy 86 / Martin Rd,33.037837,-115.629103,84,7,N,4.099,4.399,4.699,4.789,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06025,230450355,98.059179,Relatively High,70.689655,179319,33548773598,2133059124,4525.876689,6,25,6025,195,195,0,593100.3774,16558862264
